"stock_id", "Title", "barcode", "category", "price"
"BP-R-ReedElastics","Reed Elastics","*BP-R-REEDELASTICS*","Bagpipe Reeds","0","0",
"BP-R-ReedElastics","Reed Elastics","*BP-R-REEDELASTICS*","Bagpipe Reeds","0","0",
"R01-M","Shepherd Cane Chanter Reeds Medium","*R01-M*","Bagpipe Reeds","0","0",
"R01-M","Shepherd Cane Chanter Reeds Medium","*R01-M*","Bagpipe Reeds","0","0",
"R01-M","Shepherd Cane Chanter Reeds Medium","*R01-M*","Bagpipe Reeds","0","0",
"R01-M","Shepherd Cane Chanter Reeds Medium","*R01-M*","Bagpipe Reeds","0","0",
"SR12-M","Shepherd Cane Ridge Chanter Reeds Medium","*SR12-M*","Bagpipe Reeds","0","0",
"SR12-M","Shepherd Cane Ridge Chanter Reeds Medium","*SR12-M*","Bagpipe Reeds","0","0",
"SR12-M","Shepherd Cane Ridge Chanter Reeds Medium","*SR12-M*","Bagpipe Reeds","0","0",
"SR12-M","Shepherd Cane Ridge Chanter Reeds Medium","*SR12-M*","Bagpipe Reeds","0","0",
"SR12-M","Shepherd Cane Ridge Chanter Reeds Medium","*SR12-M*","Bagpipe Reeds","0","0",
"SR12-M","Shepherd Cane Ridge Chanter Reeds Medium","*SR12-M*","Bagpipe Reeds","0","0",
"SR12-M","Shepherd Cane Ridge Chanter Reeds Medium","*SR12-M*","Bagpipe Reeds","0","0",
"SR12-W","Shepherd Cane Ridge Chanter Reeds Weak","*SR12-W*","Bagpipe Reeds","0","0",
"SR12-W","Shepherd Cane Ridge Chanter Reeds Weak","*SR12-W*","Bagpipe Reeds","0","0",
"SR12-W","Shepherd Cane Ridge Chanter Reeds Weak","*SR12-W*","Bagpipe Reeds","0","0",
"SR12-W","Shepherd Cane Ridge Chanter Reeds Weak","*SR12-W*","Bagpipe Reeds","0","0",
"SR12-W","Shepherd Cane Ridge Chanter Reeds Weak","*SR12-W*","Bagpipe Reeds","0","0",
"SR12-W","Shepherd Cane Ridge Chanter Reeds Weak","*SR12-W*","Bagpipe Reeds","0","0",
"SR12-W","Shepherd Cane Ridge Chanter Reeds Weak","*SR12-W*","Bagpipe Reeds","0","0",
"SR12-W","Shepherd Cane Ridge Chanter Reeds Weak","*SR12-W*","Bagpipe Reeds","0","0",
"SR12-W","Shepherd Cane Ridge Chanter Reeds Weak","*SR12-W*","Bagpipe Reeds","0","0",
"SR12-W","Shepherd Cane Ridge Chanter Reeds Weak","*SR12-W*","Bagpipe Reeds","0","0",
"KP-pc-kitchenpipes","Kitchen Pipes","*P-PC-KITCHENPIPES*","Bagpipes","0","1",
"RGHardie_ABW_used","R. G. Hardie African Blackwood Chanter (Used)","*RGHARDIE_ABW_USED*","Bagpipes","0","0",
"BP-M-Thumbstop","Thumb Stop","*BP-M-THUMBSTOP*","Bagpipes","0","0",
"BP-M-Thumbstop","Thumb Stop","*BP-M-THUMBSTOP*","Bagpipes","0","0",
"BP-M-Thumbstop","Thumb Stop","*BP-M-THUMBSTOP*","Bagpipes","0","0",
"buckle-celtic-msg","Belt Buckle Celtic Hidden Message","*BUCKLE-CELTIC-MSG*","Belts","0","0",
